"","stim","image_id","handle","prop.left.image","prop.right.image","handle_size","non_handle_size","prop_size_difference","image_left","image_right","avg_handle_salience","avg_non_handle_salience","prop_salience_difference","child_hashed_id","frame_id","key"
"75","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"AdUCcB","10-test-trials-second","rightImage"
"76","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"XDNYQA","16-test-trials-second","rightImage"
"77","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"RPXXPZ","12-test-trials-second","rightImage"
"78","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"YVAPXR","10-test-trials-second","rightImage"
"79","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"A4T62F","15-test-trials-second","rightImage"
"80","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"P4cZRd","15-test-trials-second","rightImage"
"81","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"Z6NPSH","9-test-trials-second","rightImage"
"82","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"V6SRAE","11-test-trials-second","rightImage"
"83","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"N3DX54","12-test-trials-second","rightImage"
"84","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"2C5D4d","12-test-trials-second","rightImage"
"85","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"FdGTMc","15-test-trials-second","rightImage"
"86","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"4BcPSC","11-test-trials-second","rightImage"
"87","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"ZKRLXF","10-test-trials-second","rightImage"
"88","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"Q6d6Jc","17-test-trials-second","rightImage"
"89","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"WMMR5A","17-test-trials-second","rightImage"
"90","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"dP6ENN","11-test-trials-second","rightImage"
"91","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"GUMALM","12-test-trials-second","rightImage"
"92","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"Z6NPSH","10-test-trials-second","rightImage"
"93","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"AJNASE","11-test-trials-second","rightImage"
